File: atenet
Build ID: 00740c3aa021dcb98075730589b1f0d33281a3f1
Type: cpu
Time: 2026-09-17 15:51:10 UTC
Duration: 30s, Total samples = 19.70s (65.66%)
Showing nodes accounting for 12.05s, 61.17% of 19.70s total
Dropped 794 nodes (cum <= 0.10s)
      flat  flat%   sum%        cum   cum%
         0     0% 52.64%      0.14s  0.71%  github.com/agent-substrate/substrate/internal/resources.ParseActorDNSName
     0.01s 0.051% 52.69%      0.14s  0.71%  go.opentelemetry.io/otel/sdk/metric.(*int64Inst).Add
     0.06s   0.3% 52.99%      0.14s  0.71%  golang.org/x/net/http2/hpack.(*Decoder).parseFieldIndexed
     0.06s   0.3% 53.30%      0.14s  0.71%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Load
         0     0% 53.30%      0.14s  0.71%  reflect.unsafe_New
         0     0% 53.30%      0.14s  0.71%  runtime.mPark (inline)
     0.02s   0.1% 53.40%      0.14s  0.71%  runtime.notesleep
         0     0% 53.40%      0.14s  0.71%  sync.(*Map).Load (inline)
     0.02s   0.1% 53.50%      0.13s  0.66%  context.(*cancelCtx).cancel
         0     0% 53.50%      0.13s  0.66%  golang.org/x/net/http2/hpack.(*Encoder).searchTable
     0.01s 0.051% 53.55%      0.13s  0.66%  golang.org/x/net/http2/hpack.(*headerFieldTable).search
     0.01s 0.051% 53.60%      0.13s  0.66%  google.golang.org/protobuf/internal/impl.(*MessageInfo).initOneofFieldCoders.func2
         0     0% 53.60%      0.13s  0.66%  google.golang.org/protobuf/internal/impl.pointer.AsValueOf
         0     0% 53.60%      0.13s  0.66%  reflect.NewAt (inline)
         0     0% 53.60%      0.13s  0.66%  runtime.(*mcentral).grow
         0     0% 53.60%      0.13s  0.66%  runtime.(*mheap).alloc
         0     0% 53.60%      0.13s  0.66%  runtime.(*mheap).alloc.func1
     0.01s 0.051% 53.65%      0.13s  0.66%  runtime.(*mheap).allocSpan
         0     0% 53.65%      0.13s  0.66%  runtime.bgsweep
     0.13s  0.66% 54.31%      0.13s  0.66%  runtime.findfunc
         0     0% 54.31%      0.13s  0.66%  runtime.mapaccess1_faststr
     0.07s  0.36% 54.67%      0.13s  0.66%  runtime.mapaccess2_fast32
     0.13s  0.66% 55.33%      0.13s  0.66%  runtime.nextFreeFast (inline)
     0.02s   0.1% 55.43%      0.13s  0.66%  runtime.sweepone
         0     0% 55.43%      0.12s  0.61%  context.WithCancel.func1
         0     0% 55.43%      0.12s  0.61%  github.com/agent-substrate/substrate/internal/resources.IsValidResourceName (inline)
     0.01s 0.051% 55.48%      0.12s  0.61%  go.opentelemetry.io/otel/sdk/metric.(*int64Inst).aggregate (inline)
     0.03s  0.15% 55.63%      0.12s  0.61%  golang.org/x/sync/singleflight.(*Group).DoChan
     0.02s   0.1% 55.74%      0.12s  0.61%  google.golang.org/protobuf/types/known/structpb.NewValue
     0.07s  0.36% 56.09%      0.12s  0.61%  internal/runtime/maps.(*Map).getWithoutKeySmallFastStr
